Id;Postcode;Woonplaats;Gemeente;Provincie;Postcode_Coordinaat_X;Postcode_Coordinaat_Y;Plaats_Coordinaat_X;Plaats_Coordinaat_Y;Postcode_Lengtegraad;Postcode_Breedtegraad;Plaats_Lengtegraad;Plaats_Breedtegraad;Postcode_Locatie;Plaats_Locatie
1;1012;Amsterdam;Amsterdam;Noord-Holland;122844,3423;484937,7415;121485,6913;485281,581;4,91529732;52,35142669;4,89467583;52,35447084;0xE6100000010C3EE8D9ACFA2C4A407E1D386744A91340;0xE6100000010C4C378941602D4A40878A71FE26941340
2;1025;Amsterdam;Amsterdam;Noord-Holland;124247,6667;490322,3269;121485,6913;485281,581;4,935350705;52,39985085;4,89467583;52,35447084;0xE6100000010CD0D556EC2F334A402041F163CCBD1340;0xE6100000010C4C378941602D4A40878A71FE26941340
3;1035;Amsterdam;Amsterdam;Noord-Holland;121368,9678;492252,3523;121485,6913;485281,581;4,89285572;52,41708449;4,89467583;52,35447084;0xE6100000010CAF94658863354A4051A04FE449921340;0xE6100000010C4C378941602D4A40878A71FE26941340
4;1036;Amsterdam;Amsterdam;Noord-Holland;122016,5614;491230,6707;121485,6913;485281,581;4,902502175;52,40790822;4,89467583;52,35447084;0xE6100000010CEA04341136344A405C8FC2F5289C1340;0xE6100000010C4C378941602D4A40878A71FE26941340
5;1041;Amsterdam;Amsterdam;Noord-Holland;117831,1568;491800,7754;121485,6913;485281,581;4,84090528;52,41273209;4,89467583;52,35447084;0xE6100000010C9487855AD3344A407784D382175D1340;0xE6100000010C4C378941602D4A40878A71FE26941340
6;1042;Amsterdam;Amsterdam;Noord-Holland;117306,7778;491064,9412;121485,6913;485281,581;4,83331842;52,40609814;4,89467583;52,35447084;0xE6100000010CEB73B515FB334A402F698CD651551340;0xE6100000010C4C378941602D4A40878A71FE26941340
7;1043;Amsterdam;Amsterdam;Noord-Holland;116589,5652;489296,4161;121485,6913;485281,581;4,82297091;52,39023861;4,89467583;52,35447084;0xE6100000010C1973D712F2314A40425BCEA5B84A1340;0xE6100000010C4C378941602D4A40878A71FE26941340
8;1044;Amsterdam;Amsterdam;Noord-Holland;115728,012;491015,0819;121485,6913;485281,581;4,8101774;52,4055526;4,89467583;52,35447084;0xE6100000010CF9A067B3EA334A403D7E6FD39F3D1340;0xE6100000010C4C378941602D4A40878A71FE26941340
9;1045;Amsterdam;Amsterdam;Noord-Holland;114251,172;491784,872;121485,6913;485281,581;4,78825215;52,41233468;4,89467583;52,35447084;0xE6100000010C0612143FC6344A40BA490C022B271340;0xE6100000010C4C378941602D4A40878A71FE26941340
10;1047;Amsterdam;Amsterdam;Noord-Holland;111966,6383;491023,4129;121485,6913;485281,581;4,754850755;52,40535325;4,89467583;52,35447084;0xE6100000010C32E6AE25E4334A40DB8AFD65F7041340;0xE6100000010C4C378941602D4A40878A71FE26941340
